NRI_ID,STATE,STATEABBRV,COUNTY,AVLN_AFREQ,CFLD_AFREQ,CWAV_AFREQ,DRGT_AFREQ,ERQK_AFREQ,HAIL_AFREQ,HWAV_AFREQ,HRCN_AFREQ,ISTM_AFREQ,LNDS_AFREQ,LTNG_AFREQ,RFLD_AFREQ,SWND_AFREQ,TRND_AFREQ,TSUN_AFREQ,VLCN_AFREQ,WFIR_AFREQ,WNTW_AFREQ
C01053,Alabama,AL,Escambia,-9999,-9999,0,16.40669352,0.000284495,1.60448362,0.567742451,0.197773038,0.09726106,0.01,118.7875227,1.125,2.040115776,0.666731018,-9999,-9999,0.001833313,0.188229559
C01055,Alabama,AL,Etowah,-9999,-9999,0,28.78269929,0.000947291,5.218081667,0.309597523,0.035436404,0.434827987,0.014815422,85.40065402,0.916666667,3.772626377,0.517799934,-9999,-9999,2.57E-05,0.92879257
C01057,Alabama,AL,Fayette,-9999,-9999,0,22.43997008,0.000966503,4.335588058,0.371517028,0.0496966,0.601393844,0.01,89.58512864,0.416666667,2.771161638,0.662688858,-9999,-9999,5.42E-05,0.743034056
C01059,Alabama,AL,Franklin,-9999,-9999,0.123839009,14.74280864,0.001204469,4.489099667,0.80495356,0.031905365,0.885142623,0.01,81.79031864,1.041666667,4.205791417,0.650389278,-9999,-9999,6.37E-05,0.92879257
C01061,Alabama,AL,Geneva,-9999,-9999,0,31.42261534,0.000305657,1.339581298,0.123842682,0.182834125,0.130298476,0.01,89.03603722,0.916666667,1.731513413,0.487287937,-9999,-9999,5.85E-05,0.247680467
C01063,Alabama,AL,Greene,-9999,-9999,0,20.46657918,0.001005867,3.103924775,0.371517028,0.076464517,0.500199032,0.01,90.09584359,0.5,1.688860187,0.555260158,-9999,-9999,4.48E-05,0.681114551
C01065,Alabama,AL,Hale,-9999,-9999,0,21.77537866,0.000898885,2.953487732,0.371517028,0.076925293,0.400870979,0.01,86.86424836,0.666666667,1.513273593,0.553486307,-9999,-9999,9.23E-05,0.681114551
C01067,Alabama,AL,Henry,-9999,-9999,0,43.19245652,0.000200563,1.499469166,0.123839009,0.153365244,0.218823165,0.01,82.5754998,0.291666667,1.540212468,0.464721214,-9999,-9999,1.81E-05,0.247678019
C01069,Alabama,AL,Houston,-9999,-9999,0,34.32044177,0.000311584,1.296649061,0.185758514,0.203632646,0.112169776,0.01,87.44453326,0.875,1.632934988,0.471932986,-9999,-9999,1.41E-05,0.247678019
C01071,Alabama,AL,Jackson,-9999,-9999,0.247678019,32.03490269,0.001148045,4.927029635,0.061919505,0.023046842,0.75627598,0.024112328,71.47454278,1.375,5.262580809,1.008951162,-9999,-9999,6.22E-05,1.238390093
C01073,Alabama,AL,Jefferson,-9999,-9999,0,28.01923925,0.000907207,4.333234689,0.371517028,0.04835166,0.471960945,0.010275683,110.4922017,3.958333333,2.645981817,1.120098727,-9999,-9999,1.27E-05,1.052631579
C01075,Alabama,AL,Lamar,-9999,-9999,0,16.86197585,0.00097479,4.001293423,0.371517028,0.057168522,0.896751284,0.01,93.99705336,2,2.449001828,0.567483081,-9999,-9999,1.68E-05,0.866873065
C01077,Alabama,AL,Lauderdale,-9999,-9999,0.123839009,14.76248285,0.001477397,4.372279623,0.80495356,0.030431967,0.926534749,0.01,91.8529393,3.333333333,4.882125548,0.609276084,-9999,-9999,1.61E-05,1.052631579
C01079,Alabama,AL,Lawrence,-9999,-9999,0.123839009,20.30887309,0.001364833,4.803928948,0.743034056,0.033714388,0.813942676,0.01,78.8792641,1.625,5.523225473,0.755763781,-9999,-9999,1.50E-05,0.990712074
C01081,Alabama,AL,Lee,-9999,-9999,0,55.80714869,0.000303127,2.820957982,0.371517028,0.097400945,0.515263138,0.01,63.31685394,0.833333333,1.045140815,0.457605049,-9999,-9999,7.13E-05,0.371517028
C01083,Alabama,AL,Limestone,-9999,-9999,0.123839009,23.51658638,0.001410937,4.583100923,0.681114551,0.02922666,0.859011208,0.01,82.48809332,2.125,6.269778974,0.56726687,-9999,-9999,1.02E-05,1.052631579
C01085,Alabama,AL,Lowndes,-9999,-9999,0,25.10133974,0.000460552,2.027465348,0.371517028,0.085588163,0.402023505,0.01,78.57532484,0.666666667,1.390094415,0.57359294,-9999,-9999,3.36E-05,0.309597523
C01087,Alabama,AL,Macon,-9999,-9999,0,53.00313457,0.000448418,2.722464048,0.371517028,0.100722156,0.49479361,0.01,67.73988506,0.416666667,1.226363677,0.480188037,-9999,-9999,8.09E-05,0.309597523
C01089,Alabama,AL,Madison,-9999,-9999,0.123839009,26.56376828,0.001123976,4.750550281,0.681114551,0.024042007,0.863245227,0.01,81.35631931,3.625,6.089417893,0.850791237,-9999,-9999,1.01E-05,1.238390093
C01091,Alabama,AL,Marengo,-9999,-9999,0,17.86188629,0.000635736,2.268418663,0.371517028,0.115726742,0.507977785,0.01,86.02791737,0.541666667,1.630272011,0.721674739,-9999,-9999,3.51E-05,0.619195046
C01093,Alabama,AL,Marion,-9999,-9999,0,16.45291846,0.001033496,4.607267264,0.371517028,0.037299263,0.705743107,0.01,88.71185808,0.875,3.73802116,0.7924252,-9999,-9999,3.43E-05,0.990712074
C01095,Alabama,AL,Marshall,-9999,-9999,0.123839009,29.22140048,0.000975621,5.216292227,0.371517028,0.032132771,0.759404904,0.01,70.67101345,1.75,4.974127667,0.590499847,-9999,-9999,2.25E-05,1.238390093
C01097,Alabama,AL,Mobile,-9999,4.768538049,0,12.55730773,0.000378252,1.819886934,0.94112699,0.262145716,0.550280306,0.010667281,156.400705,3.625,1.903567311,0.776840952,-9999,-9999,0.00254616,0.183967041
C01099,Alabama,AL,Monroe,-9999,0.01,0,14.13592999,0.000326181,1.748358766,0.561349309,0.142296559,0.179034246,0.01,101.7598838,0.75,1.838361884,0.627595597,-9999,-9999,0.000463502,0.24869172
C01101,Alabama,AL,Montgomery,-9999,-9999,0,35.29052258,0.000542774,2.24497875,0.371517028,0.087361079,0.415543475,0.01,74.60077195,1.458333333,1.367890522,0.642320572,-9999,-9999,5.65E-05,0.309597523
C01103,Alabama,AL,Morgan,-9999,-9999,0.123839009,25.82564003,0.001071465,5.038419133,0.681114551,0.035029906,0.739863536,0.01,75.5242318,2.333333333,5.607642728,0.652670813,-9999,-9999,1.16E-05,1.114551084
C01105,Alabama,AL,Perry,-9999,-9999,0,24.53924414,0.000689485,2.767144087,0.371517028,0.077108551,0.228539883,0.01,78.49646453,0.375,1.287163838,0.528963241,-9999,-9999,6.26E-05,0.619195046
C01107,Alabama,AL,Pickens,-9999,-9999,0,20.13960738,0.000966581,3.647859432,0.371517028,0.070171875,0.784738846,0.01,98.29213455,0.583333333,1.967409459,0.855227417,-9999,-9999,2.04E-05,0.80495356
C01109,Alabama,AL,Pike,-9999,-9999,0,32.14060344,0.000249275,1.902807147,0.371517028,0.126403578,0.297082901,0.01,75.08314478,0.5,1.657083994,0.581752862,-9999,-9999,2.16E-05,0.185758514
C01111,Alabama,AL,Randolph,-9999,-9999,0,47.4650427,0.000426974,4.647941227,0.371517028,0.064316597,0.48347228,0.01,71.24362035,0.875,1.560481743,0.433756652,-9999,-9999,0.000363858,0.990712074
C01113,Alabama,AL,Russell,-9999,-9999,0,51.32700475,0.000388485,2.476875942,0.371517028,0.098656599,0.507324632,0.01,65.76642126,0.708333333,1.135935337,0.474424774,-9999,-9999,4.33E-05,0.247678019
C01115,Alabama,AL,St. Clair,-9999,-9999,0,28.93975441,0.000819314,4.892029531,0.371517028,0.042155688,0.367719998,0.01,103.4782769,1,3.157665663,0.621583251,-9999,-9999,1.67E-05,0.990712074
C01117,Alabama,AL,Shelby,-9999,-9999,0,31.56418067,0.000860744,3.979649001,0.371517028,0.059660506,0.401778348,0.014597474,96.61882713,1.5,1.945995663,0.771359337,-9999,-9999,1.72E-05,0.92879257
C01119,Alabama,AL,Sumter,-9999,-9999,0,13.64796822,0.000842583,3.154400045,0.371517028,0.092844013,0.627076451,0.01,94.90801282,0.75,2.083488309,0.820374253,-9999,-9999,6.93E-05,0.681114551
C01121,Alabama,AL,Talladega,-9999,-9999,0,31.76688513,0.000693217,4.410385655,0.371517028,0.055336393,0.371070639,0.01,93.51469714,1,2.122444053,0.66851724,-9999,-9999,2.19E-05,0.990712074
C01123,Alabama,AL,Tallapoosa,-9999,-9999,0,54.78304405,0.000432362,3.506241769,0.371517028,0.083340729,0.462072744,0.01,69.98885057,0.625,1.278770581,0.57919649,-9999,-9999,0.000179467,0.619195046
C01125,Alabama,AL,Tuscaloosa,-9999,-9999,0,26.20865034,0.00093227,3.732286885,0.371517028,0.060973237,0.517183895,0.010798666,91.28920197,1.916666667,1.866346043,1.271661364,-9999,-9999,4.34E-05,0.866873065
C01127,Alabama,AL,Walker,-9999,-9999,0,24.07888999,0.001020969,4.74306582,0.371517028,0.040659423,0.454482417,0.01,98.5938168,1.125,3.701451888,0.91525751,-9999,-9999,6.17E-05,0.866873065
C01129,Alabama,AL,Washington,-9999,0.01,0,12.54534592,0.000431876,2.400102604,0.691352496,0.211991977,0.445170641,0.01,116.2144882,0.875,2.270310201,0.764125555,-9999,-9999,0.00139804,0.374293012
C01131,Alabama,AL,Wilcox,-9999,-9999,0,20.1648757,0.000427533,1.845264501,0.557275542,0.115154761,0.240444282,0.01,83.6258739,0.375,1.496386457,0.547697253,-9999,-9999,4.15E-05,0.371517028
C01133,Alabama,AL,Winston,-9999,-9999,0,21.93764711,0.000997571,4.982764142,0.371517028,0.03307242,0.554712471,0.01,84.23418551,0.625,4.667261861,0.697549751,-9999,-9999,5.91E-05,0.990712074
C02013,Alaska,AK,Aleutians East,0.016666667,0,0,0,0.034223604,0,0,-9999,0.031521729,-9999,-9999,0,0,0.008917774,0.276354797,0.009666795,1.00E-05,4.531288687
C02016,Alaska,AK,Aleutians West,-9999,0,0,0,0.061974254,0,0,-9999,0.047633794,-9999,-9999,0,0,0.000141884,0.955140809,0.010122845,0,2.704303537
C02020,Alaska,AK,Anchorage,0.45,0.012,0,1.590909091,0.011198004,0.019031167,0,-9999,0.016656718,-9999,-9999,0.333333333,0,5.41E-05,0.001542132,1.27E-07,0.000223332,3.048506181
C02050,Alaska,AK,Bethel,0.016666667,0,0.114660626,0,0.003095545,0.001231852,0,-9999,0.016257904,-9999,-9999,0.666666667,0.000589111,0.114463389,-9999,0.000136554,0.002228706,5.754243828
C02060,Alaska,AK,Bristol Bay,-9999,0,0,0,0.015080513,0,0,-9999,0.024962962,-9999,-9999,0,0,1.56E-05,-9999,0.000596072,0.000390837,4.988915854
C02063,Alaska,AK,Chugach,0.01,0.012,0.0058534,0,0.015616132,0.002170425,0,-9999,0.023184337,-9999,-9999,0.01,0,0.000264026,0.05275564,6.67E-06,1.00E-05,3.529013728
C02066,Alaska,AK,Copper River,0.01,0,0.00076147,0,0.009052346,0.001790609,0,-9999,0.01489,-9999,-9999,0,0,0.000701784,0.004501,0.00058476,0.000764269,0.995273427
C02068,Alaska,AK,Denali,0.166666667,-9999,0.207956581,0,0.012049838,0.002109872,0,-9999,0.014890034,-9999,-9999,0,0,0.000406773,-9999,-9999,0.005286684,3.188590225
C02070,Alaska,AK,Dillingham,0.016666667,0.01,0,0,0.003263141,0.001223567,0,-9999,0.016231189,-9999,-9999,0.166666667,1.62E-07,0.000608631,0.00486863,-9999,0.000263281,4.32542486
C02090,Alaska,AK,Fairbanks North Star,-9999,-9999,0.177180062,0,0.006318468,0.000657841,0,-9999,0.013387255,-9999,-9999,1.125,0,0.000236838,-9999,-9999,0.009973681,3.409528254
C02100,Alaska,AK,Haines,0.05,0,0,0,0.00870692,0,0,-9999,0.017007342,-9999,-9999,0.01,0,7.54E-05,0.015424699,-9999,1.51E-05,14.68296805
C02105,Alaska,AK,Hoonah-Angoon,0.05,0.012,0,0,0.013079026,0,0,-9999,0.021494577,-9999,-9999,0.208333333,0,0.000224511,0.11046808,-9999,1.00E-05,4.784969757
C02110,Alaska,AK,Juneau,0.05,0.012,0,0,0.007110489,0,0,-9999,0.017151747,-9999,-9999,0.166666667,0,6.69E-05,0.035486615,-9999,1.06E-05,7.588480081
C02122,Alaska,AK,Kenai Peninsula,0.466666667,0.012,0,0.35659185,0.015529139,0.009065685,0,-9999,0.02251932,-9999,-9999,0.791666667,0,0.000482984,0.037119358,0.006799952,0.00206118,3.285097169
C02130,Alaska,AK,Ketchikan Gateway,-9999,0,0,6.681818182,0.011516663,0,0,-9999,0.020068813,-9999,-9999,0.041666667,0,0.000156221,0.048366879,4.20E-05,1.00E-05,4.590482896
C02150,Alaska,AK,Kodiak Island,-9999,0,0,0,0.021541714,0,0,-9999,0.026641802,-9999,-9999,0,0,0.000229495,0.09676593,0.001276906,2.51E-05,2.007499727
C02158,Alaska,AK,Kusilvak,-9999,0,0.034050692,0,0.003673148,4.36E-05,0,-9999,0.016306338,-9999,-9999,0.416666667,6.60E-05,0.006249034,-9999,-9999,0.000748194,10.9860295
C02164,Alaska,AK,Lake and Peninsula,0.033333333,0,0,0,0.014170151,2.84E-05,0,-9999,0.019809662,-9999,-9999,0.208333333,0,0.002547696,0.035932489,0.003037916,0.000197591,4.789665989
C02170,Alaska,AK,Matanuska-Susitna,0.416666667,0.01,0.000369563,1.314892317,0.01104439,0.007243003,0,-9999,0.015068471,-9999,-9999,0.291666667,0,0.00081062,0,0.00010533,0.000445819,1.932079579
C02180,Alaska,AK,Nome,0.016666667,0.012,0.25734215,0,0.004932509,0,0,-9999,0.018249061,-9999,-9999,0.083333333,0,0.00073939,0.005703026,-9999,0.000302266,13.38575707
C02185,Alaska,AK,North Slope,0.066666667,0,2.809113055,0,0.001185426,0,0,-9999,0.015737378,-9999,-9999,0,0,0.002968261,-9999,-9999,7.32E-05,6.7659366
C02188,Alaska,AK,Northwest Arctic,-9999,0.01,0.657875685,0,0.00398703,0,0,-9999,0.016474153,-9999,-9999,0.291666667,0,0.001150259,-9999,-9999,0.001557236,10.77260294
C02195,Alaska,AK,Petersburg,0.016666667,0.01,0,0,0.008559342,0,0,-9999,0.019426079,-9999,-9999,0.166666667,0,9.14E-05,0.011745571,0,1.08E-05,4.919020331
C02198,Alaska,AK,Prince of Wales-Hyder,-9999,0,0,6.551563989,0.024534237,0,0,-9999,0.031623551,-9999,-9999,0,0,0.000169627,0.091718994,3.65E-06,1.01E-05,2.283559229
C02220,Alaska,AK,Sitka,0.016666667,0.01,0,0,0.01811725,0,0,-9999,0.02439629,-9999,-9999,0.416666667,0,9.56E-05,0.023038526,-9999,1.00E-05,2.659244402
C02230,Alaska,AK,Skagway,0.05,0,0.253231813,0,0.006263849,0,0,-9999,0.015223885,-9999,-9999,0.01,0,1.39E-05,0.032216809,-9999,0.000129095,12.31079944
C02240,Alaska,AK,Southeast Fairbanks,0.1,-9999,0.264511677,0,0.006490653,0.001212122,0,-9999,0.01489,-9999,-9999,0.708333333,0,0.000789573,-9999,4.40E-06,0.005902108,3.557730369
C02275,Alaska,AK,Wrangell,0.016666667,0.01,0,6.681818182,0.009839881,0,0,-9999,0.020070994,-9999,-9999,0.041666667,0,8.22E-05,0.024271011,4.78E-05,1.03E-05,3.967121428
C02282,Alaska,AK,Yakutat,-9999,0,0,0,0.01186281,1.28E-05,0,-9999,0.017501581,-9999,-9999,0,0,0.000213188,0.158729458,-9999,1.01E-05,5.872831265
C02290,Alaska,AK,Yukon-Koyukuk,0.016666667,-9999,0.451457337,0,0.004254624,0.000134225,0,-9999,0.01471659,-9999,-9999,1.5,0,0.004820419,-9999,-9999,0.00781182,6.028917737
C04001,Arizona,AZ,Apache,-9999,-9999,0.024234403,100.5301799,0.000383107,0.068135332,6.54E-06,0.010009364,0.01489,0.01,33.55215487,2.333333333,0.041760131,0.240248953,-9999,-9999,0.001547254,1.686625491
C04003,Arizona,AZ,Cochise,-9999,-9999,0.008592542,66.68624848,0.000652407,0.275867456,1.36675755,0.016508403,-9999,0.01605578,49.71998803,6.291666667,0.581019381,0.1709814,-9999,-9999,0.008065917,1.764436331
C04005,Arizona,AZ,Coconino,0.01,-9999,0.036984024,85.04361655,0.000933955,0.231249323,0.614794341,-9999,0.01489,0.100442796,29.23788538,6.916666667,0.068622824,1.167927885,-9999,-9999,0.008121409,2.704998594
C04007,Arizona,AZ,Gila,-9999,-9999,1.97E-05,65.72195302,0.000586825,0.325414702,2.692049291,0.01,-9999,0.041049725,52.6023351,4.541666667,0.769273833,0.291775246,-9999,-9999,0.009853008,2.522541015
C04009,Arizona,AZ,Graham,-9999,-9999,0.01979634,81.5677926,0.000599979,0.193530053,3.069192094,0.016374882,-9999,0.01,49.80023618,1.666666667,0.480989612,0.082150494,-9999,-9999,0.005529585,2.696035797
C04011,Arizona,AZ,Greenlee,-9999,-9999,0.036691967,72.24290094,0.000489342,0.118219338,1.877967913,0.019836749,-9999,0.118425445,55.83450095,0.958333333,0.192074485,0.023907144,-9999,-9999,0.002687685,3.387027447
C04012,Arizona,AZ,La Paz,-9999,-9999,0,58.7220964,0.001348174,0.061060876,13.37615259,0.010975432,-9999,0.01,13.40501099,2.458333333,0.350589788,0.063902567,-9999,-9999,0.000360766,0.000348234
C04013,Arizona,AZ,Maricopa,-9999,-9999,0,63.36302302,0.000674451,0.294460626,15.7519465,0.009965371,-9999,0.018442211,19.29502361,6.958333333,1.341949122,0.774247817,-9999,-9999,0.001852224,0.229666839
C04015,Arizona,AZ,Mohave,-9999,-9999,5.20E-06,75.36482837,0.00097538,0.124408057,8.689662052,-9999,0.01489,0.01872289,23.8290071,9.583333333,0.256283204,0.293742739,-9999,-9999,0.006585903,1.894241598
C04017,Arizona,AZ,Navajo,-9999,-9999,0.020151496,98.97475895,0.000519351,0.11931151,0.096152921,-9999,0.01489,0.01,30.47461894,3.75,0.05978369,0.37229058,-9999,-9999,0.003267814,1.840712816
C04019,Arizona,AZ,Pima,-9999,-9999,0.001345283,53.1298007,0.000802222,0.241670938,4.858193574,0.011541281,-9999,0.015186,42.4913156,12.66666667,0.781459694,0.417618042,-9999,-9999,0.004637663,0.72974789
C04021,Arizona,AZ,Pinal,-9999,-9999,0.000265292,55.36132163,0.00060078,0.394149609,9.158909194,0.010089491,-9999,0.022756104,30.35432717,3.458333333,1.712347743,0.438983263,-9999,-9999,0.0024585,0.652106676
C04023,Arizona,AZ,Santa Cruz,-9999,-9999,0,46.3447019,0.000454469,0.374435655,2.177226087,0.027757377,-9999,0.01,65.69870973,2.708333333,0.899075913,0.03828743,-9999,-9999,0.011091846,1.402599686
C04025,Arizona,AZ,Yavapai,-9999,-9999,4.14E-06,69.20133261,0.000738131,0.459055238,3.095725781,-9999,-9999,0.011406863,37.18491189,5.958333333,0.544802251,0.49912614,-9999,-9999,0.0054754,1.998562453
C04027,Arizona,AZ,Yuma,-9999,-9999,0,39.02544699,0.002460372,0.038394745,13.18339194,0.013225523,-9999,0.01,10.83752932,1,0.312601518,0.09628341,-9999,-9999,0.000120324,0
C05001,Arkansas,AR,Arkansas,-9999,-9999,0,6.758958267,0.001981656,3.845028968,1.300309598,0.026806913,1.150648206,0.01,77.25180725,1.833333333,2.355319493,0.704790369,-9999,-9999,1.01E-05,1.114551084
C05003,Arkansas,AR,Ashley,-9999,-9999,0,14.35959676,0.001026975,3.567619189,2.043343653,0.041954297,1.078321236,0.01,73.13316268,1.791666667,2.877251771,0.654919876,-9999,-9999,6.92E-05,1.238390093
C05005,Arkansas,AR,Baxter,-9999,-9999,0.185758514,12.78634489,0.001373171,5.428954431,0.123839009,0.009838391,1.98880675,0.018131003,72.07008664,1.291666667,3.418439213,0.324503684,-9999,-9999,0.001997125,2.167182663
C05007,Arkansas,AR,Benton,-9999,-9999,0.185758514,9.126481884,0.000466817,8.381314057,1.114551084,0.01020605,1.92420252,0.01,80.71529176,2.625,6.452989835,0.750429339,-9999,-9999,0.005875345,2.53869969
C05009,Arkansas,AR,Boone,-9999,-9999,0.185758514,9.606538464,0.000854522,6.435460315,0.185758514,0.013644502,2.214295669,0.024078389,72.62222356,1.416666667,4.603212935,0.384267002,-9999,-9999,0.002170915,2.291021672
C05011,Arkansas,AR,Bradley,-9999,-9999,0,17.07060423,0.001002052,3.649182677,1.114551084,0.03126228,1.187930847,0.01,80.33041957,1.333333333,2.829442606,0.423456624,-9999,-9999,4.50E-05,0.80495356
C05013,Arkansas,AR,Calhoun,-9999,-9999,0,21.2365335,0.000987084,4.140180574,0.990712074,0.035065163,1.126960491,0.01,87.05269927,1.541666667,3.393740798,0.397936153,-9999,-9999,3.72E-05,0.80495356
C05015,Arkansas,AR,Carroll,-9999,-9999,0.185758514,9.029575254,0.000655008,7.501258435,0.80495356,0.013012745,1.953446871,0.01,74.99617261,1.25,5.55977043,0.478698214,-9999,-9999,0.001583186,2.848297214
C05017,Arkansas,AR,Chicot,-9999,-9999,0,12.8024018,0.00117251,3.482274473,2.167182663,0.046150562,0.892786584,0.01,74.71403603,2.666666667,2.608031079,0.537317802,-9999,-9999,6.74E-05,1.238390093
C05019,Arkansas,AR,Clark,-9999,-9999,0,20.82442759,0.000790046,5.049826786,0.92879257,0.032787517,0.892199224,0.01,97.75238824,3.333333333,3.538559612,0.52995223,-9999,-9999,9.20E-05,0.990712074
C05021,Arkansas,AR,Clay,-9999,-9999,0,10.79680231,0.003928352,3.399929279,2.848297214,0.019812428,1.169013411,0.01,104.5322501,1.166666667,2.106152576,0.508016104,-9999,-9999,2.66E-05,2.229102167
C05023,Arkansas,AR,Cleburne,-9999,-9999,0.123839009,7.327962902,0.002042917,5.170721376,0.371517028,0.026664709,1.4440053,0.01,82.90670846,1.125,2.939016832,0.450153005,-9999,-9999,0.000616836,1.671826625
